Date,Open,High,Low,Close,Volume,Adj Close
2008-04-18,45.05,47.54,44.74,45.50,28908300,45.50
2008-04-17,41.05,44.20,40.91,43.64,22090800,43.64
2008-04-16,40.51,41.97,40.45,41.72,20664300,41.72
2008-04-15,40.00,40.07,37.80,39.67,22152400,39.67
2008-04-14,39.98,40.43,38.85,39.38,20100300,39.38
2008-04-11,39.10,41.60,39.10,39.87,27739100,39.87
2008-04-10,39.60,41.57,38.72,40.25,32334700,40.25
2008-04-09,43.24,43.44,40.00,40.54,34084600,40.54
2008-04-08,44.04,45.40,43.49,43.67,21111900,43.67
2008-04-07,45.51,46.09,44.05,44.60,19575200,44.60
2008-04-04,43.75,44.80,42.78,44.05,19407000,44.05
2008-04-03,43.13,45.42,41.99,43.32,28424300,43.32
2008-04-02,44.66,46.00,43.26,44.07,35499900,44.07
2008-04-01,40.94,44.50,40.24,44.34,77105700,44.34
2008-03-31,37.27,39.49,35.30,37.64,37859000,37.64
2008-03-28,40.10,40.27,37.43,37.87,49091400,37.87
2008-03-27,43.14,43.15,37.10,38.71,69145900,38.71
2008-03-26,44.56,44.56,42.00,42.49,23708800,42.49
2008-03-25,45.89,46.50,44.14,45.21,21400200,45.21
2008-03-24,47.72,49.49,46.10,46.64,33436600,46.64
2008-03-20,42.75,49.64,41.99,48.65,40561100,48.65
2008-03-19,46.47,47.15,41.75,42.23,51973900,42.23
2008-03-18,38.04,46.49,35.67,46.49,143014900,46.49
2008-03-17,25.38,34.91,20.25,31.75,224521900,31.75
2008-03-14,45.91,46.82,38.88,39.26,79447600,39.26
2008-03-13,43.21,46.78,41.61,45.99,35214000,45.99
2008-03-12,46.46,48.40,44.64,44.95,24376800,44.95
2008-03-11,46.70,47.02,43.28,46.31,41647700,46.31
2008-03-10,46.36,46.74,42.77,42.98,30873200,42.98
2008-03-07,45.35,48.31,45.19,46.36,21633900,46.36
2008-03-06,46.50,46.58,45.20,46.03,26727100,46.03
2008-03-05,48.68,49.80,47.32,48.06,18954700,48.06
2008-03-04,48.06,49.14,46.52,48.35,28333800,48.35
2008-03-03,50.30,50.30,48.09,48.61,23571200,48.61
2008-02-29,53.84,54.37,50.70,50.99,19654300,50.99
2008-02-28,56.87,57.15,54.25,54.68,14228100,54.68
2008-02-27,56.38,58.39,55.72,57.46,12561700,57.46
2008-02-26,54.83,58.01,54.69,56.84,17729300,56.84
2008-02-25,53.51,55.94,53.25,55.57,16626000,55.57
2008-02-22,54.26,54.60,52.40,54.22,14978900,54.22
2008-02-21,55.48,55.96,53.93,54.14,13584900,54.14
2008-02-20,52.98,56.18,52.01,55.39,19754300,55.39
2008-02-19,55.29,55.90,53.04,53.57,15219500,53.57
2008-02-15,53.81,54.87,53.09,54.77,12826700,54.77
2008-02-14,54.77,55.63,53.75,54.39,15377400,54.39
2008-02-13,56.50,56.50,54.33,55.31,18066100,55.31
2008-02-12,57.64,58.66,55.40,56.26,20989600,56.09
2008-02-11,60.14,60.88,58.04,58.25,13050200,58.07
2008-02-08,60.05,61.12,58.53,60.04,11347600,59.86
2008-02-07,57.96,61.58,57.56,60.48,15845400,60.30
2008-02-06,59.87,60.10,57.37,58.18,15526300,58.00
2008-02-05,62.00,62.91,59.75,59.82,15263000,59.64
2008-02-04,66.13,66.55,62.86,63.82,10370600,63.63
2008-02-01,64.32,66.58,62.57,66.00,17822900,65.80
2008-01-31,60.62,65.73,60.20,64.05,21188500,63.86
2008-01-30,63.15,65.00,61.88,62.59,23816900,62.40
2008-01-29,60.89,62.68,59.75,62.53,12074100,62.34
2008-01-28,57.28,60.84,56.91,60.63,12173800,60.45
2008-01-25,60.30,61.00,56.90,57.87,14005600,57.70
2008-01-24,58.37,60.50,58.37,59.56,17539900,59.38
2008-01-23,53.00,59.93,51.83,58.96,29080000,58.78
2008-01-22,50.00,56.80,49.75,54.93,24831300,54.76
2008-01-18,55.15,55.55,51.54,53.25,25016700,53.09
2008-01-17,57.74,58.88,54.36,54.66,23158100,54.49
2008-01-16,55.63,59.68,55.36,58.06,16996100,57.88
2008-01-15,58.35,58.45,55.29,55.71,13964200,55.54
2008-01-14,58.77,59.36,57.57,59.20,9529100,59.02
2008-01-11,57.40,60.12,56.45,58.15,16756100,57.97
2008-01-10,54.23,59.08,53.53,57.82,21483900,57.65
2008-01-09,54.76,55.75,52.67,54.99,23266800,54.82
