Date,Indoor Temperature,Indoor Humidity,Outdoor Temperature 1,Outdoor Humidity 1,Outdoor Temperature 2,Outdoor Humidity 2,Outdoor Temperature 3,Outdoor Humidity 3,Outdoor Temperature 4,Outdoor Humidity 4,Outdoor Temperature 5,Outdoor Humidity 5
04.01.2008 17:00,81.3,36,67.8,50,36.6,---,36.8,---,---,---,---,---
04.01.2008 17:05,75.9,40,64,53,36.6,---,36.8,---,---,---,---,---
04.01.2008 17:10,72.6,42,60.9,57,36.6,---,36.8,---,---,---,---,---
04.01.2008 17:15,70.7,43,59.7,60,36.6,---,36.8,---,---,---,---,---
04.01.2008 17:20,70.1,45,59,60,36.6,---,---,---,---,---,---,---
04.01.2008 17:25,69,45,58.6,59,36.6,---,---,---,---,---,---,---
04.01.2008 17:30,68,45,58.1,60,36.6,---,---,---,---,---,---,---
04.01.2008 17:35,67.8,46,57.9,60,36.6,---,---,---,---,---,---,---
04.01.2008 17:40,67.1,46,57.7,60,36.6,---,---,---,---,---,---,---
04.01.2008 17:45,66.5,47,57.5,60,36.6,---,---,---,---,---,---,---
04.01.2008 17:50,66.2,48,57.5,60,36.6,---,---,---,---,---,---,---
04.01.2008 17:55,66,48,57.7,60,36.6,---,---,---,---,---,---,---
04.01.2008 18:00,66.2,49,58.4,60,36.6,---,---,---,---,---,---,---
04.01.2008 18:05,66.3,49,59,62,36.6,---,---,---,---,---,---,---
04.01.2008 18:10,66.9,51,---,---,36.6,---,---,---,---,---,---,---
04.01.2008 18:15,69.2,51,---,---,36.8,---,36.6,---,---,---,---,---
04.01.2008 18:23,69.4,61,65.1,51,36.6,---,36.8,---,---,---,---,---
04.01.2008 18:25,69.8,52,64.4,51,36.6,---,36.8,---,---,---,---,---
04.01.2008 18:30,68.9,49,63.1,51,36.6,---,36.8,---,---,---,---,---
04.01.2008 18:35,68.1,50,62,53,36.6,---,36.6,---,---,---,---,---
04.01.2008 18:40,67.6,50,61.5,53,36.6,---,36.6,---,---,---,---,---
04.01.2008 18:45,67.2,49,60.9,53,36.3,---,36.6,---,---,---,---,---
04.01.2008 18:50,66.9,49,60.9,53,36.3,---,36.3,---,---,---,---,---
04.01.2008 18:55,66.7,49,60.8,53,36.1,---,36.1,---,---,---,---,---
04.01.2008 19:00,66.5,49,60.6,53,36.1,---,36.1,---,---,---,---,---
04.01.2008 19:05,66.3,48,60.4,53,36.1,---,36.3,---,---,---,---,---
04.01.2008 19:10,66.2,48,60.4,53,36.1,---,36.6,---,---,---,---,---
04.01.2008 19:15,66,48,60.4,53,36.1,---,36.3,---,---,---,---,---
04.01.2008 19:20,66,48,60.2,52,36.1,---,36.1,---,---,---,---,---
04.01.2008 19:25,65.8,48,60.2,53,36.1,---,35.9,---,---,---,---,---
04.01.2008 19:30,65.8,48,60.2,53,35.9,---,36.1,---,---,---,---,---
04.01.2008 19:35,65.8,49,60,53,35.9,---,36.1,---,---,---,---,---
04.01.2008 19:40,66.2,49,60.2,54,35.9,---,36.1,---,---,---,---,---
04.01.2008 19:45,67.2,50,60.2,54,35.9,---,36.1,---,---,---,---,---
04.01.2008 19:50,67.6,49,60.2,56,35.9,---,36.1,---,---,---,---,---
04.01.2008 19:55,67.8,49,60.4,56,35.9,---,36.3,---,---,---,---,---
04.01.2008 20:00,68,49,60.6,57,35.9,---,36.6,---,---,---,---,---
04.01.2008 20:05,68.1,50,60.8,58,35.9,---,36.6,---,---,---,---,---
04.01.2008 20:10,68.3,49,60.8,58,36.1,---,36.3,---,---,---,---,---
04.01.2008 20:15,68.7,48,60.9,57,36.1,---,36.3,---,---,---,---,---
04.01.2008 20:20,68.7,48,60.9,57,36.1,---,36.1,---,---,---,---,---
04.01.2008 20:25,68.7,48,60.8,57,36.1,---,36.1,---,---,---,---,---
04.01.2008 20:30,68.5,47,60.8,56,36.1,---,35.9,---,---,---,---,---
04.01.2008 20:35,68.7,47,60.8,56,36.1,---,35.7,---,---,---,---,---
04.01.2008 20:40,69.2,50,60.8,55,36.1,---,35.6,---,---,---,---,---
04.01.2008 20:45,70.1,47,60.8,56,35.9,---,35.6,---,---,---,---,---
04.01.2008 20:50,69.9,50,60.6,55,35.7,---,35.6,---,---,---,---,---
04.01.2008 20:55,69.9,46,60.6,55,35.7,---,35.2,---,---,---,---,---
04.01.2008 21:00,69,46,60.6,55,35.7,---,35.2,---,---,---,---,---
04.01.2008 21:05,68.7,46,60.6,55,35.7,---,34.8,---,---,---,---,---
04.01.2008 21:10,68.9,46,60.6,55,35.7,---,34.8,---,---,---,---,---
04.01.2008 21:15,69.2,46,60.6,56,---,---,35.2,---,---,---,---,---
04.01.2008 21:20,69.6,45,60.8,57,35.4,---,35.2,---,---,---,---,---
04.01.2008 21:25,69.9,45,60.9,58,35.4,---,35.2,---,---,---,---,---
04.01.2008 21:30,70.1,44,60.9,58,35.7,---,35.2,---,---,---,---,---
04.01.2008 21:35,70.5,44,60.9,58,35.7,---,35.2,---,---,---,---,---
04.01.2008 21:40,70.5,44,61.1,58,35.7,---,35.2,---,---,---,---,---
04.01.2008 21:45,70.3,44,61.1,58,35.7,---,35.2,---,---,---,---,---
04.01.2008 21:50,70.1,44,61.1,58,35.7,---,35.2,---,---,---,---,---
04.01.2008 21:55,69.9,44,61.1,57,35.7,---,35.2,---,---,---,---,---
04.01.2008 22:00,69.8,44,61.1,57,35.7,---,34.8,---,---,---,---,---
04.01.2008 22:05,69.6,44,61.1,56,35.7,---,35.2,---,---,---,---,---
